,Error Rate,FNR,FPR,Model,accuracy,auc,f1,precision,recall,sensitivity,specificity
0,0.12128712871287128,0.5934489402697495,0.05885350318471338,../data/SelectedFeatures/Model1/RFECV.csv,0.8787128712871287,0.7690612765853,0.43912591050988553,0.40655105973025046,0.47737556561085975,0.40655105973025046,0.9411464968152866
1,0.09855985598559856,0.12303030303030303,0.08410880458124552,../data/SelectedFeatures/Model2/RFECV.csv,0.9014401440144014,0.9624657816533264,0.8685474189675871,0.876969696969697,0.8602853745541023,0.876969696969697,0.9158911954187545
2,0.15121512151215122,0.6840077071290944,0.08076433121019108,../data/SelectedFeatures/Model1NoDrugQs/RFECV.csv,0.8487848784878488,0.6859943791956605,0.328,0.3159922928709056,0.340956340956341,0.3159922928709056,0.9192356687898089
3,0.31503150315031503,0.4090909090909091,0.2594846098783107,../data/SelectedFeatures/Model2NoDrugQs/RFECV.csv,0.684968496849685,0.7284232446150842,0.5820895522388059,0.5909090909090909,0.5735294117647058,0.5909090909090909,0.7405153901216893
4,0.12038703870387038,0.5799614643545279,0.05961783439490446,../data/SelectedFeatures/Model1NoDummies/RFECV.csv,0.8796129612961296,0.7676548482505552,0.44902162718846544,0.42003853564547206,0.4823008849557522,0.42003853564547206,0.9403821656050956
5,0.10328532853285328,0.1406060606060606,0.0812455261274159,../data/SelectedFeatures/Model2NoDummies/RFECV.csv,0.8967146714671467,0.9529986334352835,0.8606980273141123,0.8593939393939394,0.8620060790273556,0.8593939393939394,0.9187544738725841
6,0.14333933393339335,0.6840077071290944,0.07184713375796178,../data/SelectedFeatures/Model1NoDrugQsNoDummies/RFECV.csv,0.8566606660666066,0.7279641152142164,0.3398963730569948,0.3159922928709056,0.36771300448430494,0.3159922928709056,0.9281528662420382
7,0.3118811881188119,0.41454545454545455,0.25125268432355047,../data/SelectedFeatures/Model2NoDrugQsNoDummies/RFECV.csv,0.6881188118811881,0.727922170885664,0.5822784810126582,0.5854545454545454,0.579136690647482,0.5854545454545454,0.7487473156764496
8,0.8832133213321333,0.0,1.0,../data/dfManual,0.11678667866786678,0.5,0.2091476929276647,1.0,0.11678667866786678,1.0,0.0
9,0.6287128712871287,0.0,1.0,../data/dfManual,0.3712871287128713,0.5,0.5415162454873647,1.0,0.3712871287128713,1.0,0.0
